정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
156000053,성서초등학교앞,128.512904,35.851084,156,달서구
156000054,성서산업단지역(1번출구),128.5054981,35.852058,156,달서구
156000055,성서산업단지역(2번출구),128.5050359,35.85176,156,달서구
156000056,대백창신한라타운건너,128.501231,35.85177,156,달서구
156000057,대백창신한라타운앞,128.500421,35.852067,156,달서구
156000058,서남시장앞1,128.5452191,35.853462,156,달서구
156000060,서남시장건너,128.5456028,35.8531,156,달서구
156000061,구병원건너,128.5420702,35.852194,156,달서구
156000062,구병원앞,128.5417372,35.851606,156,달서구
156000063,죽전네거리1,128.5343888,35.849595,156,달서구
156000064,삼성명가타운,128.4741871,35.853012,156,달서구
156000065,삼성명가타운건너,128.474329,35.853382,156,달서구
156000066,강창역(1번출구),128.4771809,35.853338,156,달서구
156000067,강창역(2번출구),128.477448,35.852932,156,달서구
156000068,계명대학교동산병원앞,128.4802229,35.853156,156,달서구
156000069,계명대학교정문건너,128.4848449,35.852214,156,달서구
156000070,계명대학교정문앞,128.4850238,35.852639,156,달서구
156000071,계명대학교동산병원건너,128.4816359,35.852524,156,달서구
156000072,계명대역(2번출구),128.488685,35.851668,156,달서구
156000073,계명대역(1번출구),128.490197,35.851891,156,달서구
156000074,성서주공1단지앞,128.4961331,35.851777,156,달서구
156000075,성서주공1단지건너,128.49498,35.851305,156,달서구
156000076,용산네거리2,128.5315639,35.849679,156,달서구
156000077,용산네거리1,128.5317299,35.849317,156,달서구
156000078,죽전네거리2,128.535435,35.850122,156,달서구
156000079,용산1동주민센터앞,128.5307528,35.855016,156,달서구
156000080,용산종합큰시장앞,128.530724,35.857223,156,달서구
156000081,2차서한화성타운앞,128.5288081,35.858909,156,달서구
156000082,용산2동주민센터건너1,128.523096,35.858914,156,달서구
156000083,성서청구타운앞,128.520918,35.856294,156,달서구
156000084,영남우방타운1차건너,128.51707,35.855319,156,달서구
156000085,조달청건너,128.514501,35.855356,156,달서구
156000086,동서화성타운앞,128.5105651,35.855437,156,달서구
156000087,성서우방타운앞,128.5054931,35.855503,156,달서구
156000088,보성화성타운앞,128.5028921,35.85554,156,달서구
156000089,성서주공2단지건너,128.4989332,35.855618,156,달서구
